"","variable"
"348",222
"349",222
"350",224
"351",224
"352",225
"353",225
"354",228
"355",228
"356",228
"357",228
"358",228
"359",228
"360",228
"361",228
"362",229
"363",230
"364",232
"365",233
"366",233
"367",241
"368",241
"369",241
"370",241
"371",245
"372",245
"373",253
"374",254
"375",255
"376",272
"377",272
"378",273
"379",274
"380",275
"381",275
"382",275
"383",275
"384",275
"385",275
"386",275
"387",275
"388",275
"389",275
"390",275
"391",275
"392",275
"393",275
"394",279
"395",279
"396",280
"397",280
"398",281
"399",281
"400",282
"401",288
"402",289
"403",290
"404",291
"405",292
"406",292
"407",292
"408",292
"409",292
"410",292
"411",292
"412",292
"413",292
"414",300
"415",302
"416",304
"417",306
"418",307
"419",312
"420",313
"421",313
"422",313
"423",313
"424",313
"425",313
"426",313
"427",313
"428",320
"429",332
"430",332
"431",334
"432",334
"433",334
"434",334
"435",334
"436",334
"437",334
"438",334
"439",334
"440",334
"441",335
"442",335
"443",335
"444",335
"445",335
"446",335
"447",335
"448",335
"449",335
"450",335
"451",335
"452",335
"453",335
"454",335
"455",335
"456",335
"457",335
"458",335
"459",335
"460",335
"461",335
"462",335
"463",335
"464",335
"465",335
"466",335
"467",335
"468",336
"469",336
"470",336
"471",337
"472",337
"473",337
"474",337
"475",337
"476",337
"477",337
"478",337
"479",337
"480",337
"481",337
"482",337
"483",337
"484",337
"485",337
"486",337
"487",337
"488",337
"489",337
"490",337
"491",337
"492",337
"493",340
"494",340
"495",341
"496",343
"497",343
"498",343
"499",343
"500",343
"501",343
"502",343
"503",343
"504",343
"505",343
"506",343
"507",343
"508",343
"509",343
"510",343
"511",343
"512",343
"513",343
"514",344
"515",344
"516",344
"517",344
"518",344
"519",345
"520",345
"521",345
"522",345
"523",346
"524",346
"525",346
"526",346
"527",346
"528",346
"529",346
"530",346
"531",346
"532",346
"533",346
"534",346
"535",346
"536",346
"537",346
"538",346
"539",346
"540",346
"541",346
"542",346
"543",346
"544",346
"545",346
"546",346
"547",346
"548",349
"549",352
"550",355
"551",355
"552",363
"553",364
"554",364
"555",367
"556",381
"557",383
"558",384
"559",390
"560",392
"561",395
"562",395
"563",397
"564",397
"565",397
"566",397
"567",398
"568",398
"569",398
"570",401
"571",414
"572",439
"573",442
"574",444
"575",444
"576",444
"577",444
"578",444
"579",444
"580",444
"581",444
"582",444
"583",444
"584",444
"585",444
"586",449
"587",449
"588",449
"589",449
"590",450
"591",455
"592",462
"593",466
"594",472
"595",472
"596",474
"597",474
"598",475
"599",475
"600",478
"601",478
"602",478
"603",482
"604",486
"605",486
"606",491
"607",492
"608",501
"609",502
"610",502
"611",502
"612",502
"613",502
"614",503
"615",503
"616",504
"617",506
"618",511
"619",512
"620",512
"621",512
"622",512
"623",512
"624",524
"625",524
"626",526
"627",527
"628",527
"629",527
"630",527
"631",527
"632",527
"633",527
"634",527
"635",527
"636",534
"637",538
"638",538
"639",538
"640",538
"641",538
"642",539
"643",539
"644",539
"645",539
"646",540
"647",540
"648",541
"649",541
"650",541
"651",546
"652",546
"653",547
"654",555
"655",555
"656",555
"657",556
"658",556
"659",560
"660",560
"661",560
"662",580
"663",580
"664",580
"665",580
"666",582
"667",582
"668",582
"669",582
"670",582
"671",582
"672",582
"673",582
"674",583
"675",583
"676",583
"677",583
"678",583
"679",583
"680",583
"681",583
"682",583
"683",583
"684",583
"685",583
"686",583
"687",583
"688",583
"689",583
"690",583
"691",583
"692",583
"693",583
"694",584
"695",586
"696",590
"697",590
"698",590
"699",590
"700",592
"701",592
"702",592
"703",592
"704",592
"705",592
"706",592
"707",592
"708",592
"709",592
"710",592
"711",592
"712",592
"713",592
"714",592
"715",593
"716",593
"717",593
"718",593
"719",593
"720",593
"721",593
"722",593
"723",593
"724",593
"725",593
"726",593
"727",593
"728",593
"729",593
"730",593
"731",600
"732",600
"733",601
"734",614
"735",615
"736",617
"737",618
"738",622
"739",629
"740",634
"741",635
"742",635
"743",635
"744",635
"745",635
"746",640
"747",642
"748",642
"749",642
"750",642
"751",643
"752",643
"753",643
"754",643
"755",657
"756",657
"757",657
"758",663
"759",663
"760",663
"761",663
"762",663
"763",663
"764",663
"765",664
"766",664
"767",664
"768",664
"769",664
"770",664
"771",664
"772",670
"773",670
"774",670
"775",670
"776",670
"777",672
"778",673
"779",673
"780",675
"781",675
"782",676
"783",676
"784",676
"785",678
"786",678
"787",678
"788",679
"789",680
"790",680
"791",680
"792",680
"793",680
"794",682
"795",682
"796",682
"797",682
"798",682
"799",682
"800",682
"801",682
"802",682
"803",682
"804",682
"805",682
"806",682
"807",682
"808",682
"809",682
"810",682
"811",682
"812",682
"813",682
"814",682
"815",682
"816",682
"817",682
"818",682
"819",683
"820",683
"821",683
"822",683
"823",683
"824",683
"825",683
"826",683
"827",683
"828",683
"829",689
"830",689
"831",689
"832",689
"833",689
"834",689
"835",689
"836",697
"837",700
"838",700
"839",700
"840",702
"841",705
"842",705
"843",705
"844",706
"845",714
"846",714
"847",714
"848",714
"849",715
"850",721
"851",722
"852",722
"853",741
"854",741
"855",741
"856",741
"857",741
"858",741
"859",744
"860",744
"861",744
"862",744
"863",744
"864",744
"865",744
"866",744
"867",744
"868",745
"869",745
"870",745
"871",745
"872",745
"873",745
"874",745
"875",745
"876",745
"877",745
"878",747
"879",751
"880",751
"881",751
"882",751
"883",757
"884",758
"885",758
"886",763
"887",773
"888",774
"889",774
"890",774
"891",774
"892",774
"893",775
"894",782
"895",784
"896",787
"897",787
"898",790
"899",794
"900",794
"901",794
"902",798
"903",798
"904",798
"905",798
"906",798
"907",799
"908",806
"909",811
"910",811
"911",811
"912",811
"913",812
"914",812
"915",813
"916",814
"917",814
"918",815
"919",815
"920",815
"921",815
"922",815
"923",815
"924",815
"925",815
"926",815
"927",817
"928",817
"929",819
"930",819
"931",819
"932",822
"933",822
"934",822
"935",822
"936",822
"937",822
"938",822
"939",822
"940",823
"941",823
"942",823
"943",823
"944",823
"945",823
"946",823
"947",823
"948",823
"949",823
"950",823
"951",823
"952",823
"953",823
"954",823
"955",823
"956",823
"957",823
"958",823
"959",823
"960",823
"961",823
"962",825
"963",825
"964",825
"965",828
"966",828
"967",828
"968",828
"969",828
"970",828
"971",828
"972",828
"973",828
"974",828
"975",828
"976",828
"977",829
"978",829
"979",829
"980",829
"981",829
"982",829
"983",829
"984",829
"985",829
"986",829
"987",829
"988",829
"989",829
"990",829
"991",829
"992",829
"993",829
"994",829
"995",829
"996",829
"997",829
"998",829
"999",829
"1000",829
"1001",829
"1002",829
"1003",829
"1004",829
"1005",829
"1006",829
"1007",829
"1008",829
"1009",829
"1010",829
"1011",829
"1012",829
"1013",829
"1014",829
"1015",829
"1016",829
"1017",829
"1018",829
"1019",829
"1020",829
"1021",829
"1022",829
"1023",829
"1024",829
"1025",829
"1026",829
"1027",829
"1028",829
"1029",829
"1030",829
"1031",829
"1032",829
"1033",829
"1034",829
"1035",829
"1036",829
"1037",829
"1038",829
"1039",829
"1040",829
"1041",829
"1042",831
"1043",831
"1044",831
"1045",831
"1046",831
"1047",831
"1048",831
"1049",831
"1050",832
"1051",832
"1052",832
"1053",832
"1054",834
"1055",834
"1056",834
"1057",834
"1058",834
"1059",834
"1060",835
"1061",835
"1062",835
"1063",835
"1064",835
"1065",835
"1066",835
"1067",835
"1068",835
"1069",839
"1070",841
"1071",841
"1072",841
"1073",841
"1074",841
"1075",842
"1076",842
"1077",842
"1078",842
"1079",843
"1080",843
"1081",849
"1082",849
"1083",849
"1084",849
"1085",849
"1086",849
"1087",849
"1088",852
"1089",853
"1090",853
"1091",853
"1092",853
"1093",853
"1094",854
"1095",854
"1096",854
"1097",857
"1098",861
"1099",864
"1100",865
"1101",865
"1102",865
"1103",865
"1104",871
"1105",873
"1106",873
"1107",874
"1108",874
"1109",874
"1110",874
"1111",874
"1112",875
"1113",875
"1114",877
"1115",878
"1116",878
"1117",878
"1118",878
"1119",878
"1120",880
"1121",880
"1122",880
"1123",880
"1124",880
"1125",880
"1126",880
"1127",880
"1128",882
"1129",882
"1130",882
"1131",882
"1132",882
"1133",882
"1134",882
"1135",883
"1136",883
"1137",883
"1138",883
"1139",883
"1140",883
"1141",883
"1142",883
"1143",884
"1144",884
"1145",884
"1146",884
"1147",884
"1148",884
"1149",884
"1150",884
"1151",884
"1152",884
"1153",884
"1154",884
"1155",884
"1156",884
"1157",884
"1158",884
"1159",884
"1160",884
"1161",884
"1162",884
"1163",884
"1164",884
"1165",884
"1166",884
"1167",884
"1168",884
"1169",884
"1170",884
"1171",884
"1172",884
"1173",884
"1174",884
"1175",884
"1176",884
"1177",888
"1178",896
"1179",897
"1180",897
"1181",899
"1182",899
"1183",900
"1184",900
"1185",900
"1186",903
"1187",903
"1188",904
"1189",906
"1190",906
"1191",908
"1192",908
"1193",912
"1194",912
"1195",912
"1196",912
"1197",912
"1198",912
"1199",912
"1200",912
"1201",913
"1202",913
"1203",913
"1204",913
"1205",913
"1206",913
"1207",913
"1208",913
"1209",913
"1210",913
"1211",913
"1212",913
"1213",913
"1214",913
"1215",913
"1216",913
"1217",913
"1218",913
"1219",913
"1220",913
"1221",913
"1222",913
"1223",913
"1224",913
"1225",913
"1226",913
"1227",913
"1228",913
"1229",913
"1230",913
"1231",913
"1232",913
"1233",913
"1234",913
"1235",913
"1236",913
"1237",913
"1238",913
"1239",913
"1240",913
"1241",913
"1242",913
"1243",913
"1244",913
"1245",913
"1246",913
"1247",913
"1248",913
"1249",913
"1250",913
"1251",913
"1252",913
"1253",913
"1254",913
"1255",913
"1256",913
"1257",913
"1258",913
"1259",913
"1260",915
"1261",915
"1262",915
"1263",919
"1264",919
"1265",919
"1266",919
"1267",919
"1268",919
"1269",920
"1270",920
"1271",920
"1272",920
"1273",920
"1274",920
"1275",924
"1276",924
"1277",924
"1278",924
"1279",924
"1280",924
"1281",924
"1282",924
"1283",924
"1284",925
"1285",929
"1286",931
"1287",931
"1288",931
"1289",931
"1290",931
"1291",931
"1292",931
"1293",931
"1294",931
"1295",931
"1296",931
"1297",933
"1298",933
"1299",933
"1300",933
"1301",933
"1302",933
"1303",933
"1304",933
"1305",934
"1306",934
"1307",934
"1308",934
"1309",934
"1310",935
"1311",935
"1312",935
"1313",935
"1314",935
"1315",935
"1316",936
"1317",936
"1318",936
"1319",936
"1320",936
"1321",936
"1322",936
"1323",936
"1324",936
"1325",936
"1326",951
"1327",953
"1328",954
"1329",957
"1330",957
"1331",957
"1332",957
"1333",958
"1334",971
"1335",988
"1336",988
"1337",988
"1338",988
"1339",988
"1340",988
"1341",988
"1342",988
"1343",988
"1344",988
"1345",988
"1346",988
"1347",988
"1348",988
"1349",1004
"1350",1004
"1351",1004
"1352",1004
"1353",1008
"1354",1039
"1355",1054
"1356",1054
"1357",1054
"1358",1055
"1359",1056
"1360",1056
"1361",1057
"1362",1057
"1363",1057
"1364",1057
"1365",1058
"1366",1058
"1367",1058
"1368",1058
"1369",1058
"1370",1058
"1371",1058
"1372",1058
"1373",1059
"1374",1059
"1375",1059
"1376",1059
"1377",1059
"1378",1059
"1379",1059
"1380",1059
"1381",1059
"1382",1059
"1383",1059
"1384",1059
"1385",1059
"1386",1059
"1387",1059
"1388",1059
"1389",1059
"1390",1059
"1391",1059
"1392",1059
"1393",1059
"1394",1059
"1395",1059
"1396",1059
"1397",1059
"1398",1059
"1399",1059
"1400",1059
"1401",1059
"1402",1059
"1403",1059
"1404",1059
"1405",1059
"1406",1059
"1407",1059
"1408",1059
"1409",1059
"1410",1059
"1411",1059
"1412",1059
"1413",1059
"1414",1059
"1415",1059
"1416",1059
"1417",1059
"1418",1059
"1419",1059
"1420",1059
"1421",1059
"1422",1059
"1423",1059
"1424",1060
"1425",1060
"1426",1060
"1427",1060
"1428",1062
"1429",1062
"1430",1062
"1431",1062
"1432",1063
"1433",1063
"1434",1063
"1435",1072
"1436",1072
"1437",1072
"1438",1075
"1439",1075
"1440",1075
"1441",1076
"1442",1076
"1443",1076
"1444",1076
"1445",1076
"1446",1076
"1447",1076
"1448",1076
"1449",1077
"1450",1077
"1451",1077
"1452",1077
"1453",1077
"1454",1086
"1455",1086
"1456",1086
"1457",1090
"1458",1092
"1459",1092
"1460",1092
"1461",1092
"1462",1092
"1463",1093
"1464",1096
"1465",1100
"1466",1100
"1467",1100
"1468",1101
"1469",1101
"1470",1101
"1471",1101
"1472",1102
"1473",1102
"1474",1102
"1475",1102
"1476",1102
"1477",1107
"1478",1108
"1479",1108
"1480",1108
"1481",1112
"1482",1113
"1483",1113
"1484",1120
"1485",1121
"1486",1121
"1487",1121
"1488",1121
"1489",1121
"1490",1121
"1491",1121
"1492",1121
"1493",1121
"1494",1121
"1495",1121
"1496",1121
"1497",1121
"1498",1121
"1499",1121
"1500",1121
"1501",1121
"1502",1121
"1503",1121
"1504",1121
"1505",1121
"1506",1121
"1507",1121
"1508",1121
"1509",1121
"1510",1121
"1511",1121
"1512",1137
"1513",1141
"1514",1141
"1515",1141
"1516",1142
"1517",1145
"1518",1149
"1519",1150
"1520",1150
"1521",1150
"1522",1150
"1523",1165
"1524",1169
"1525",1169
"1526",1169
"1527",1169
"1528",1169
"1529",1169
"1530",1169
"1531",1169
"1532",1170
"1533",1170
"1534",1170
"1535",1170
"1536",1173
"1537",1177
"1538",1178
"1539",1178
"1540",1178
"1541",1179
"1542",1184
"1543",1185
"1544",1185
"1545",1185
"1546",1185
"1547",1185
"1548",1185
"1549",1185
"1550",1185
"1551",1185
"1552",1185
"1553",1185
"1554",1186
"1555",1186
"1556",1186
"1557",1187
"1558",1188
"1559",1189
"1560",1189
"1561",1189
"1562",1189
"1563",1189
"1564",1190
"1565",1190
"1566",1190
"1567",1190
"1568",1190
"1569",1190
"1570",1190
"1571",1190
"1572",1190
"1573",1190
"1574",1190
"1575",1190
"1576",1190
"1577",1190
"1578",1190
"1579",1190
"1580",1190
"1581",1190
"1582",1190
"1583",1190
"1584",1190
"1585",1190
"1586",1190
"1587",1190
"1588",1190
"1589",1190
"1590",1190
"1591",1190
"1592",1190
"1593",1190
"1594",1190
"1595",1190
"1596",1190
"1597",1190
"1598",1190
"1599",1190
"1600",1190
"1601",1190
"1602",1190
"1603",1190
"1604",1190
"1605",1190
"1606",1190
"1607",1190
"1608",1190
"1609",1190
"1610",1190
"1611",1190
"1612",1190
"1613",1190
"1614",1190
"1615",1190
"1616",1190
"1617",1191
"1618",1191
"1619",1191
"1620",1191
"1621",1191
"1622",1191
"1623",1191
"1624",1191
"1625",1191
"1626",1191
"1627",1191
"1628",1191
"1629",1191
"1630",1191
"1631",1191
"1632",1191
"1633",1191
"1634",1191
"1635",1191
"1636",1191
"1637",1191
"1638",1191
"1639",1191
"1640",1191
"1641",1200
"1642",1204
"1643",1208
"1644",1212
"1645",1213
"1646",1213
"1647",1213
"1648",1213
"1649",1213
"1650",1213
"1651",1213
"1652",1214
"1653",1214
"1654",1216
"1655",1217
"1656",1217
"1657",1217
"1658",1217
"1659",1217
"1660",1217
"1661",1217
"1662",1217
"1663",1217
"1664",1217
"1665",1217
"1666",1217
"1667",1217
"1668",1217
"1669",1218
"1670",1218
"1671",1218
"1672",1218
"1673",1218
"1674",1218
"1675",1221
"1676",1221
"1677",1223
"1678",1224
"1679",1237
"1680",1237
"1681",1237
"1682",1238
"1683",1253
"1684",1258
"1685",1258
"1686",1262
"1687",1262
"1688",1262
"1689",1262
"1690",1262
"1691",1262
"1692",1263
"1693",1263
"1694",1263
"1695",1266
"1696",1266
"1697",1266
"1698",1266
"1699",1266
"1700",1266
"1701",1266
"1702",1266
"1703",1266
"1704",1266
"1705",1266
"1706",1266
"1707",1266
"1708",1266
"1709",1266
"1710",1266
"1711",1266
"1712",1266
"1713",1266
"1714",1266
"1715",1266
"1716",1266
"1717",1266
"1718",1266
"1719",1267
"1720",1267
"1721",1267
"1722",1267
"1723",1267
"1724",1267
"1725",1267
"1726",1267
"1727",1277
"1728",1280
"1729",1280
"1730",1280
"1731",1281
"1732",1281
"1733",1281
"1734",1281
"1735",1282
"1736",1283
"1737",1283
"1738",1287
"1739",1287
"1740",1287
"1741",1287
"1742",1287
"1743",1287
"1744",1287
"1745",1287
"1746",1287
"1747",1287
"1748",1287
"1749",1287
"1750",1288
"1751",1288
"1752",1288
"1753",1288
"1754",1288
"1755",1288
"1756",1288
"1757",1288
"1758",1288
"1759",1288
"1760",1288
"1761",1288
"1762",1288
"1763",1297
"1764",1297
"1765",1299
"1766",1301
"1767",1301
"1768",1301
"1769",1301
"1770",1301
"1771",1301
"1772",1302
"1773",1302
"1774",1302
"1775",1302
"1776",1302
"1777",1302
"1778",1302
"1779",1309
"1780",1309
"1781",1313
"1782",1313
"1783",1313
"1784",1314
"1785",1314
"1786",1314
"1787",1314
"1788",1325
"1789",1327
"1790",1327
"1791",1327
"1792",1332
"1793",1337
"1794",1337
"1795",1337
"1796",1341
"1797",1341
"1798",1341
"1799",1341
"1800",1341
"1801",1341
"1802",1341
"1803",1342
"1804",1342
"1805",1342
"1806",1342
"1807",1342
"1808",1342
"1809",1342
"1810",1342
"1811",1342
"1812",1342
"1813",1342
"1814",1342
"1815",1343
"1816",1343
"1817",1343
"1818",1343
"1819",1346
"1820",1346
"1821",1346
"1822",1347
"1823",1347
"1824",1347
"1825",1347
"1826",1347
"1827",1347
"1828",1348
"1829",1348
"1830",1348
"1831",1348
"1832",1371
"1833",1375
"1834",1375
"1835",1376
"1836",1376
"1837",1376
"1838",1376
"1839",1376
"1840",1380
"1841",1380
"1842",1380
"1843",1380
"1844",1382
"1845",1384
"1846",1384
"1847",1384
"1848",1384
"1849",1384
"1850",1384
"1851",1384
"1852",1384
"1853",1385
"1854",1386
"1855",1386
"1856",1386
"1857",1386
"1858",1387
"1859",1387
"1860",1387
"1861",1387
"1862",1387
"1863",1387
"1864",1387
"1865",1391
"1866",1392
"1867",1402
"1868",1402
"1869",1402
"1870",1402
"1871",1403
"1872",1403
"1873",1403
"1874",1403
"1875",1403
"1876",1403
"1877",1403
"1878",1403
"1879",1403
"1880",1403
"1881",1414
"1882",1414
"1883",1414
"1884",1414
"1885",1414
"1886",1414
"1887",1414
"1888",1414
"1889",1415
"1890",1419
"1891",1419
"1892",1419
"1893",1419
"1894",1419
"1895",1419
"1896",1419
"1897",1419
"1898",1419
"1899",1419
"1900",1419
"1901",1419
"1902",1419
"1903",1419
"1904",1419
"1905",1419
"1906",1419
"1907",1419
"1908",1419
"1909",1419
"1910",1419
"1911",1419
"1912",1419
"1913",1420
"1914",1422
"1915",1422
"1916",1422
"1917",1422
"1918",1422
"1919",1422
"1920",1422
"1921",1425
"1922",1425
"1923",1425
"1924",1425
"1925",1425
"1926",1425
"1927",1425
"1928",1425
"1929",1425
"1930",1426
"1931",1426
"1932",1426
"1933",1426
"1934",1426
"1935",1426
"1936",1426
"1937",1426
"1938",1426
"1939",1426
"1940",1426
"1941",1427
"1942",1427
"1943",1427
"1944",1427
"1945",1427
"1946",1427
"1947",1427
"1948",1432
"1949",1432
"1950",1436
"1951",1436
"1952",1436
"1953",1436
"1954",1436
"1955",1436
"1956",1436
"1957",1436
"1958",1436
"1959",1436
"1960",1437
"1961",1440
"1962",1440
"1963",1440
"1964",1440
"1965",1441
"1966",1441
"1967",1444
"1968",1448
"1969",1452
"1970",1454
"1971",1454
"1972",1455
"1973",1456
"1974",1456
"1975",1456
"1976",1456
"1977",1456
"1978",1456
"1979",1456
"1980",1456
"1981",1456
"1982",1456
"1983",1456
"1984",1456
"1985",1457
"1986",1457
"1987",1457
"1988",1457
"1989",1457
"1990",1457
"1991",1457
"1992",1457
"1993",1457
"1994",1457
"1995",1457
"1996",1457
"1997",1457
"1998",1457
"1999",1457
"2000",1457
"2001",1457
"2002",1457
"2003",1457
"2004",1457
"2005",1457
"2006",1457
"2007",1457
"2008",1466
"2009",1466
"2010",1466
"2011",1468
"2012",1468
"2013",1468
"2014",1469
"2015",1469
"2016",1469
"2017",1470
"2018",1470
"2019",1470
"2020",1470
"2021",1470
"2022",1470
"2023",1470
"2024",1470
"2025",1470
"2026",1470
"2027",1470
"2028",1470
"2029",1470
"2030",1470
"2031",1470
"2032",1470
"2033",1470
"2034",1470
"2035",1470
"2036",1471
"2037",1471
"2038",1471
"2039",1471
"2040",1472
"2041",1472
"2042",1472
"2043",1472
"2044",1472
"2045",1472
"2046",1472
"2047",1472
"2048",1472
"2049",1472
"2050",1472
"2051",1472
"2052",1472
"2053",1473
"2054",1473
"2055",1473
"2056",1474
"2057",1475
"2058",1488
"2059",1497
"2060",1497
"2061",1497
"2062",1497
"2063",1498
"2064",1498
"2065",1498
"2066",1498
"2067",1498
"2068",1498
"2069",1498
"2070",1498
"2071",1498
"2072",1498
"2073",1498
"2074",1498
"2075",1498
"2076",1498
"2077",1498
"2078",1498
"2079",1498
"2080",1509
"2081",1509
"2082",1512
"2083",1512
"2084",1512
"2085",1512
"2086",1512
"2087",1512
"2088",1512
"2089",1512
"2090",1512
"2091",1513
"2092",1513
"2093",1513
"2094",1513
"2095",1513
"2096",1513
"2097",1513
"2098",1513
"2099",1513
"2100",1513
"2101",1514
"2102",1514
"2103",1514
"2104",1514
"2105",1514
"2106",1514
"2107",1517
"2108",1517
"2109",1518
"2110",1518
"2111",1518
"2112",1518
"2113",1518
"2114",1519
"2115",1519
"2116",1519
"2117",1519
"2118",1527
"2119",1528
"2120",1528
"2121",1528
"2122",1528
"2123",1528
"2124",1528
"2125",1543
"2126",1544
"2127",1544
"2128",1544
"2129",1544
"2130",1544
"2131",1547
"2132",1548
"2133",1549
"2134",1550
"2135",1550
"2136",1551
"2137",1551
"2138",1551
"2139",1554
"2140",1554
"2141",1566
"2142",1566
"2143",1566
"2144",1567
"2145",1567
"2146",1567
"2147",1567
"2148",1567
"2149",1567
"2150",1567
"2151",1567
"2152",1567
"2153",1567
"2154",1567
"2155",1567
"2156",1567
"2157",1567
"2158",1567
"2159",1567
"2160",1572
"2161",1572
"2162",1588
"2163",1588
"2164",1589
"2165",1589
"2166",1592
"2167",1592
"2168",1592
"2169",1592
"2170",1592
"2171",1592
"2172",1592
"2173",1592
"2174",1592
"2175",1592
"2176",1593
"2177",1593
"2178",1593
"2179",1593
"2180",1593
"2181",1593
"2182",1593
"2183",1593
"2184",1593
"2185",1593
"2186",1594
"2187",1594
"2188",1594
"2189",1594
"2190",1594
"2191",1594
"2192",1594
"2193",1594
"2194",1594
"2195",1596
"2196",1596
"2197",1596
"2198",1596
"2199",1600
"2200",1600
"2201",1604
"2202",1607
"2203",1608
"2204",1608
"2205",1609
"2206",1611
"2207",1611
"2208",1612
"2209",1612
"2210",1612
"2211",1613
"2212",1615
"2213",1615
"2214",1623
"2215",1624
"2216",1624
"2217",1625
"2218",1625
"2219",1626
"2220",1627
"2221",1627
"2222",1627
"2223",1627
"2224",1627
"2225",1627
"2226",1637
"2227",1640
"2228",1640
"2229",1641
"2230",1642
"2231",1642
"2232",1643
"2233",1643
"2234",1643
"2235",1643
"2236",1643
"2237",1661
"2238",1661
"2239",1662
"2240",1665
"2241",1668
"2242",1669
"2243",1669
"2244",1670
"2245",1670
"2246",1679
"2247",1679
"2248",1679
"2249",1679
"2250",1682
"2251",1682
"2252",1682
"2253",1682
"2254",1682
"2255",1682
"2256",1683
"2257",1683
"2258",1683
"2259",1683
"2260",1683
"2261",1683
"2262",1683
"2263",1683
"2264",1683
"2265",1683
"2266",1683
"2267",1683
"2268",1683
"2269",1683
"2270",1683
"2271",1683
"2272",1683
"2273",1683
"2274",1683
"2275",1683
"2276",1684
"2277",1684
"2278",1684
"2279",1684
"2280",1684
"2281",1684
"2282",1684
"2283",1684
"2284",1684
"2285",1684
"2286",1684
"2287",1684
"2288",1684
"2289",1684
"2290",1685
"2291",1686
"2292",1686
"2293",1686
"2294",1687
"2295",1700
"2296",1700
"2297",1706
"2298",1715
"2299",1715
"2300",1716
"2301",1717
"2302",1717
"2303",1720
"2304",1720
"2305",1720
"2306",1720
"2307",1721
"2308",1721
"2309",1721
"2310",1722
"2311",1753
"2312",1753
"2313",1753
"2314",1753
"2315",1756
"2316",1756
"2317",1756
"2318",1756
"2319",1756
"2320",1756
"2321",1756
"2322",1756
"2323",1756
"2324",1756
"2325",1756
"2326",1756
"2327",1756
"2328",1756
"2329",1756
"2330",1757
"2331",1757
"2332",1757
"2333",1757
